ID,Name
428,"2nd Lovat's Scouts"
429,"Montgomeryshire Yeomanry"
430,"Norfolk Yeomanry"
431,"Northamptonshire Yeomanry"
432,"Northumberland Yeomanry"
433,"Nottinghamshire Yeomanry (Sherwood Rangers)"
434,"Nottinghamshire Yeomanry (South Nottinghamshire Hussars)"
435,"Oxfordshire Yeomanry"
436,"Pembroke Yeomanry"
437,"Scottish Horse"
438,"2nd Scottish Horse"
439,"3rd Scottish Horse"
440,"Shropshire Yeomanry"
441,"North Somerset Yeomanry"
442,"West Somerset Yeomanry"
443,"Staffordshire Yeomanry"
444,"Suffolk Yeomanry"
445,"4th Suffolk Yeomanry"
446,"Surrey Yeomanry"
447,"Sussex Yeomanry"
448,"Warwickshire Yeomanry"
449,"Welsh Horse Yeomanry"
450,"Westmorland and Cumberland Yeomanry"
451,"Royal Wiltshire Yeomanry"
452,"Worcestershire Yeomanry"
453,"Yorkshire Dragoons Yeomanry"
454,"Yorkshire Hussars Yeomanry"
455,"East Riding of Yorkshire Yeomanry"
456,"1st Battalion (Territorial)"
457,"2nd Battalion (Territorial)"
458,"3rd Battalion (Territorial)"
459,"101st"
460,"102nd"
461,"103rd"
462,"104th"
463,"106th"
464,"109th"
465,"10th"
466,"111th"
467,"113th"
468,"115th"
469,"116th"
470,"117th"
471,"118th"
472,"119th"
473,"11th"
474,"120th"
475,"121st"
476,"122nd"
477,"123rd"
478,"124th"
479,"126th"
480,"127th"
481,"12th"
482,"132nd"
483,"133rd"
484,"134th"
485,"137th"
486,"13th"
487,"140th"
488,"141st"
489,"142nd"
490,"143rd"
491,"144th"
492,"145th"
493,"146th"
494,"147th"
495,"148th"
496,"149th"
497,"14th"
498,"150th"
499,"151st"
500,"152nd"
501,"153rd"
502,"154th"
503,"155th"
504,"156th"
505,"159th"
506,"15th"
507,"162nd"
508,"164th"
509,"166th"
510,"167th"
511,"168th"
512,"169th"
513,"16th"
514,"170th"
515,"174th"
516,"175th"
517,"176th"
518,"177th"
519,"17th"
520,"180th"
521,"181st"
522,"183rd"
523,"185th"
524,"189th"
525,"18th"
526,"195th"
527,"196th"
528,"197th"
529,"199th"
530,"19th"
531,"1st"
532,"200th"
533,"201st"
534,"202nd"
535,"203rd"
536,"204th"
537,"207th"
538,"208th"
539,"209th"
540,"20th"
541,"210th"
542,"212th"
543,"214th"
544,"215th"
545,"217th"
546,"218th"
547,"21st"
548,"220th"
549,"223rd"
550,"225th"
551,"227th"
552,"22nd"
553,"233rd"
554,"235th"
555,"237th"
556,"239th"
557,"23rd"
558,"244th"
559,"246th"
560,"247th"
561,"249th"
562,"24th"
563,"257th"
564,"25th"
565,"260th"
566,"266th"
567,"26th"
568,"27th"
569,"28th"
570,"29th"
571,"2nd"
572,"30th"
573,"31st"
574,"32nd"
575,"33rd"
576,"34th"
577,"35th"
578,"36th"
579,"37th"
580,"38th"
581,"39th"
582,"3rd"
583,"406th"
584,"40th"
585,"41st"
586,"42nd"
587,"43rd"
588,"44th"
589,"45th"
590,"46th"
591,"47th"
592,"482nd"
593,"48th"
594,"49th"
595,"4th"
596,"50th"
597,"51st"
598,"52nd"
599,"53rd"
600,"542nd"
601,"54th"
602,"55th"
603,"56th"
604,"57th"
605,"58th"
606,"59th"
607,"5th"
608,"60th"
609,"61st"
610,"62nd"
611,"63rd"
612,"64th"
613,"65th"
614,"66th"
615,"68th"
616,"692nd"
617,"69th"
618,"6th"
619,"700th"
620,"704th"
621,"72nd"
622,"731st"
623,"733rd"
624,"73rd"
625,"74th"
626,"75th"
627,"76th"
629,"86th"
630,"87th"
631,"88th"
632,"89th"
633,"8th"
634,"90th"
635,"917th"
636,"91st"
637,"92nd"
638,"93rd"
639,"95th"
640,"96th"
641,"97th"
642,"98th"
643,"99th"
644,"9th"
645,"Huntingdonshire Cyclist Battalion"
646,"1st Battalion (Huntingdonshire Cyclist Battalion)"
647,"Kent Cyclist Battalion"
648,"Highland Cyclist Battalion"
649,"1st Battalion  (Highland Cyclist Battalion)"
650,"Northern Cyclist Battalion"
651,"2/1 Battalion (Northern Cyclist Battalion)"
