REG_ID,BAT_ID,SORTORDER
62,323,217409
62,324,217411
64,109,217413
64,170,219194
64,110,219228
64,220,220694
64,111,220717
64,112,220757
64,113,221201
64,114,221533
64,115,221800
64,326,222105
64,117,222124
64,118,223197
64,120,224269
64,121,225230
64,122,225237
64,161,225822
64,162,225825
64,163,225850
64,123,225851
64,124,225866
64,144,225871
66,109,225877
66,110,227619
66,116,228328
82,115,293427
82,116,293749
82,316,294023
82,117,294659
82,118,294664
82,144,294683
84,109,294698
84,110,296055
84,111,296463
84,114,296496
84,115,297182
84,116,297807
84,117,297905
84,118,297917
84,120,298169
84,121,298192
84,431,298233
84,112,298243
84,157,298248
84,158,298395
84,226,298450
84,159,298453
84,160,298719
84,144,298721
86,109,298725
86,110,298770
86,111,300345
86,112,300384
86,157,300387
86,158,301183
86,226,301710
86,159,301712
86,160,302188
86,181,302809
86,114,302813
86,183,302815
86,166,303352
86,187,303602
86,167,304179
86,116,304471
86,117,305107
86,118,305855
86,120,306415
86,121,306421
86,122,306445
86,144,306475
88,109,306483
88,110,306527
88,111,308141
88,112,308188
88,236,308635
88,160,308934
88,183,308939
88,166,308959
88,115,309015
88,116,310013
88,117,310228
88,118,310992
88,120,311000
88,121,311692
88,122,312229
88,161,312958
88,162,312962
88,163,312967
88,123,313130
88,144,313156
88,436,313163
88,437,313170
88,438,313173
88,439,313184
90,109,313192
90,110,313704
90,111,314966
90,157,315027
90,159,315297
90,441,315630
90,183,315640
90,115,315931
90,116,315956
90,117,316376
90,118,317102
90,120,317369
90,121,317529
90,122,317541
108,485,371150
108,120,371193
108,121,371253
108,122,371465
108,165,371468
108,157,371477
108,158,371595
108,113,371667
108,159,371677
108,160,371852
110,807,371888
110,492,396094
111,493,402341
112,807,402427
112,495,413717
112,496,413820
112,497,413852
112,498,413869
112,499,413888
112,500,413967
112,501,414003
112,502,414040
112,503,414065
112,504,414119
112,505,414153
112,506,414174
112,507,414199
112,508,414235
112,509,414294
112,510,414382
112,511,414429
112,512,414469
112,513,414513
112,514,414590
112,515,414646
112,516,414743
112,517,414793
112,518,414865
112,519,414896
112,520,414952
112,521,415038
112,522,415064
112,523,415095
112,524,415132
112,525,415150
115,109,415176
115,110,415243
115,111,416674
115,112,416714
115,113,417629
115,114,418487
115,115,419361
115,116,419937
115,117,420413
115,118,421059
115,120,421577
115,121,421597
115,122,421730
115,161,422079
115,162,422086
115,123,422103
115,124,422110
115,158,422120
115,160,422135
115,165,422144
115,226,422148
115,181,422151
115,170,422153
115,220,422198
115,144,422202
117,109,422230
117,528,423213
117,298,423537
117,529,423574
117,530,423907
117,354,424195
117,531,424752
117,183,425233
117,365,425702
117,532,425998
117,533,426017
117,534,426709
117,370,427640
117,276,427771
117,535,428396
117,536,428405
117,537,429159
117,538,429451
117,539,429810
117,540,429844
117,541,429875
117,542,429880
117,144,429918
119,109,429922
119,110,429955
