ID,Name
399,"13th Infantry Works Company."
400,"14th Infantry Works Company."
401,"2oth Infantry Works Company."
402,"1st Reserve Garrison Battalion."
403,"Cambs. and Suffolk Reserve Battalion."
405,"2nd Home Service Battalion."
406,"7th Reserve Battalion."
407,"3/8th Battalion."
408,"15/17th Battalion."
409,"26th Provisional Battalion."
410,"51st Battalion (Graduated Battalion)."
411,"52nd Battalion (Graduated Battalion)."
412,"53rd Battalion (Young Soldiers.)."
413,"6th Training Reserve Battalion."
414,"9th Training Reserve Battalion."
416,"1st Labour Company."
418,"4th (Res.) Battalion."
421,"3rd Battalion"
422,"223rd (T.F.) Depot."
423,"6th (Res.) Battalion."
425,"51st (Grad) Battalion."
426,"52nd (Grad) Battalion."
427,"53rd (Grad) Battalion."
428,"Brecknock Battalion."
431,"4th Res. Battalion."
436,"51st T.R. Battalion."
437,"52nd T.R. Battalion."
438,"53rd T.R. Battalion."
439,"Supernumerary Companies."
441,"4/5th Battalion."
443,"4/5th (Angus and Dundee) Battalion (Territorial)."
444,"6th (Perthshire) Battalion (Territorial)."
445,"7th (Fife) Battalion (Territorial)."
446,"13th (Scottish Horse) Battalion."
447,"14th (Fife and Forfar Yeo.) Battalion."
448,"3rd Reserve Battalion."
451,"1/4th Battalion (Territorial Force)."
452,"2/4th Battalion (Territorial Force)."
453,"3/4th Battalion (Territorial Force)."
454,"1/5th Battalion (Territorial Force)."
455,"2/5th Battalion (Territorial Force)."
456,"3/5th Battalion (Territorial Force)."
457,"4/5th Battalion (Territorial Force)."
458,"42nd Provisional Battalion (T.F.)."
460,"28th Training Reserve Battalion."
461,"Infantry Labour Companies. 1st Company."
462,"Infantry Labour Companies. 6th Company."
463,"Infantry Labour Companies. 8th Company."
464,"Infantry Labour Companies. 9th Company."
465,"Infantry Labour Companies. 11th Company."
466,"Infantry Labour Companies. 12th Company."
467,"Infantry Labour Companies. 13th Company."
468,"Army Gymnastic Staff."
469,"25th Recruits Distribution Battalion."
470,"London District Details."
471,"1st H.S. Garrison Battalion."
472,"1/20th London Regiment."
473,"2/20th London Regiment."
475,"51st Garrison Battalion."
476,"52nd Garrison Battalion."
477,"53rd Young Soldiers Garrison Battalion."
478,"90th Training Reserve Battalion."
479,"91st Training Reserve Battalion."
481,"1/1st Battalion (Herefordshire Regiment)."
484,"9th Battalion"
485,"1st F. S. Garrison Battalion."
492,"Territorial Force."
493,"(Artillery Section)."
495,"4th Highland (Mountain) Brigade. [RGA - (TF)]"
496,"Highland (Fifeshire). [RGA - (TF)]"
497,"Lowland (City of Edinburgh) Heavy Battery. [RGA - (TF)]"
498,"Lowland (City of Edinburgh) Heavy Battery [RGA - (TF)]"
499,"Lancashire Heavy Brigade. [RGA - (TF)]"
500,"Welsh (Carnarvonshire) R.G.A. (TF)"
501,"Northumbrian (North Riding) Heavy Battery. [RGA - (TF)]"
502,"West Riding Heavy Battery. [RGA - (TF)]"
503,"North Midland (Staffordshire) Heavy Battery. [RGA - (TF)]"
504,"South Midland (Warwickshire) Heavy Battery. [RGA - (TF)]"
505,"Wessex (Hampshire) Heavy Battery. [RGA - (TF)]"
506,"East Anglian (Essex) Heavy Battery. [RGA - (TF)]"
507,"Home Counties (Kent) Heavy Battery. [RGA - (TF)]"
617,"5th I.L. Company."
618,"6th I.L. Company."
619,"7th I.L. Company."
620,"No. 1. Spec. Co. N.R.E.F."
621,"7th London Regiment."
622,"2/7th London Battalion."
623,"19th London Battalion."
624,"2/19th London Battalion."
633,"Attached 1/2nd King's African Rifles."
634,"16th Training Reserve Battn., Affiliated To the King's Royal Rifles Corps."
635,"17th Training Reserve Battn., Affiliated To the King's Royal Rifles Corps."
636,"18th Training Reserve Battn., Affiliated To the King's Royal Rifles Corps."
637,"19th Training Reserve Battn., Affiliated To the King's Royal Rifles Corps."
638,"20th Training Reserve Battn., Affiliated To the King's Royal Rifles Corps."
639,"51st Battn., the King's Royal Rifles Corps."
640,"52nd Battn., the King's Royal Rifles Corps."
641,"53rd Battn., the King's Royal Rifles Corps."
642,"6th (City of London Battn.) the London Regiment, Affiliated To K.R.R.C."
643,"9th Battalion, the County of London Regiment, Affiliated To K.R.R.C."
644,"2/9th Battalion, the County of London Regiment, Affiliated To K.R.R.C."
645,"11th Battalion, the County of London Regiment, Affiliated To K.R.R.C."
646,"2/11th Battalion, the County of London Regiment, Affiliated To K.R.R.C."
647,"12th Battalion, the County of London Regiment, Affiliated To K.R.R.C."
648,"2/12th Battalion, the County of London Regiment, Affiliated To K.R.R.C."
649,"13th Battalion, the County of London Regiment, Affiliated To K.R.R.C."
650,"2/13th Battalion, the County of London Regiment, Affiliated To K.R.R.C."
651,"15th Battalion, the County of London Regiment, Affiliated To K.R.R.C."
652,"2/15th Battalion, the County of London Regiment, Affiliated To K.R.R.C."
653,"16th Battalion, the County of London Regiment, Affiliated To K.R.R.C."
654,"2/16th Battalion, the County of London Regiment, Affiliated To K.R.R.C."
656,"No. 2 Works Company."
657,"4th (T.F.) Battalion."
658,"Depot (T.F.)."
660,"17th Battalion"
661,"24th Battalion"
662,"25th Res. Battalion."
663,"26th Res. Battalion."
664,"27th Res. Battalion."
665,"6th Reserve Battalion."
666,"1/8 Battalion."
667,"8th Res. Battalion."
668,"9th Reserve Battalion."
669,"1/10th Battalion."
670,"196th Territorial Force Depot."
671,"198th Territorial Force Depot."
672,"51st (G) Battalion."
674,"1st. G.N. Battn., Roy. Scots, Lothian Regt."
675,"3rd. Battalion."
676,"4th. (Res.) Battalion."
679,"4th (Hallamshire) (T.F.) Battalion."
680,"1/4th (Hallamshire) (T.F.) Battalion."
681,"2/4th (Hallamshire) (T.F.) Battalion."
682,"3/4th (Hallamshire) (T.F.) Battalion."
683,"5th (T.F.) Battalion."
684,"4th (Reserve) (T.F.) Battalion."
685,"6th (Service) Battalion."
686,"12th (Service) (Sheffield) Battalion."
687,"13th (Service) (1st Barnsley) Battalion."
